municipio,vereador,partido_x,proposta_tipo,proposta_numero,proposta_ano,proposta_ementa,proposta_url,partido_y,tem_bio,n_propostas,tipos_propostas,tamanho_corpus_limpo,proposta_ementa_tokenizada,ementa_sem_stopwords,ementa_lematizada,resumo_proposta,proposta_ementa_filtrada,ementa_lematizada_filtrada
Bayeux,Cabo Rubem,PSB,REQ,181,2026,solicita a criação do programa primeiro estágio municipal destinado à inserção de estudantes universitários e técnicos no mercado de trabalho no município dede bayeux,https://sapl.bayeux.pb.leg.br/materia/634,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['solicita', 'a', 'criação', 'do', 'programa', 'primeiro', 'estágio', 'municipal', 'destinado', 'à', 'inserção', 'de', 'estudantes', 'universitários', 'e', 'técnicos', 'no', 'mercado', 'de', 'trabalho', 'no', 'município', 'dede', 'bayeux']","['solicita', 'criação', 'programa', 'primeiro', 'estágio', 'municipal', 'destinado', 'inserção', 'estudantes', 'universitários', 'técnicos', 'mercado', 'trabalho', 'município', 'dede', 'bayeux']","['solicitar', 'criação', 'programa', 'primeiro', 'estágio', 'municipal', 'destinar', 'inserção', 'estudante', 'universitário', 'técnico', 'mercado', 'trabalho', 'município', 'Bayeux']",A proposta legislativa pede a criação de um programa municipal que ajuda estudantes universitários e técnicos a encontrar empregos no município de Bayeux.,primeiro estágio destinado inserção estudantes universitários técnicos mercado trabalho dede,"['primeiro', 'estágio', 'destinar', 'inserção', 'estudante', 'universitário', 'técnico', 'mercado', 'trabalho']"
Bayeux,Cabo Rubem,PSB,REQ,177,2026,solicita à semob e à secretaria municipal de infraestrutura a realização de estudo técnico para retirada ou relocação de quebra molas na rua joaquim nabuco no bairro imaculada,https://sapl.bayeux.pb.leg.br/materia/627,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['solicita', 'à', 'semob', 'e', 'à', 'secretaria', 'municipal', 'de', 'infraestrutura', 'a', 'realização', 'de', 'estudo', 'técnico', 'para', 'retirada', 'ou', 'relocação', 'de', 'quebra', 'molas', 'na', 'rua', 'joaquim', 'nabuco', 'no', 'bairro', 'imaculada']","['solicita', 'semob', 'secretaria', 'municipal', 'infraestrutura', 'realização', 'estudo', 'técnico', 'retirada', 'relocação', 'quebra', 'molas', 'rua', 'joaquim', 'nabuco', 'bairro', 'imaculada']","['solicitar', 'semob', 'secretario', 'Municipal', 'infraestrutura', 'realização', 'estudo', 'técnico', 'retirar', 'relocação', 'quebra', 'mola', 'rua', 'Joaquim', 'nabuco', 'bairro', 'imacular']",A proposta solicita que a Semob e a Secretaria de Infraestrutura realizem um estudo técnico para retirar ou relocalizar as quebra-molas da Rua Joaquim Nabuco no Bairro Imaculada.,semob secretaria infraestrutura realização estudo técnico para retirada relocação quebra molas rua joaquim nabuco bairro imaculada,"['semob', 'secretario', 'infraestrutura', 'realização', 'estudo', 'técnico', 'retirar', 'relocação', 'quebra', 'mola', 'rua', 'Joaquim', 'nabuco', 'bairro', 'imacular']"
Bayeux,Cabo Rubem,PSB,REQ,176,2026,solicita à secretaria municipal de infraestrutura e ao dnit a realização de serviços de tapa buracos e recuperação asfáltica na avenida engenheiro de carvalho e nas imediações do viaduto no sentido jardim aeroporto,https://sapl.bayeux.pb.leg.br/materia/626,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['solicita', 'à', 'secretaria', 'municipal', 'de', 'infraestrutura', 'e', 'ao', 'dnit', 'a', 'realização', 'de', 'serviços', 'de', 'tapa', 'buracos', 'e', 'recuperação', 'asfáltica', 'na', 'avenida', 'engenheiro', 'de', 'carvalho', 'e', 'nas', 'imediações', 'do', 'viaduto', 'no', 'sentido', 'jardim', 'aeroporto']","['solicita', 'secretaria', 'municipal', 'infraestrutura', 'dnit', 'realização', 'serviços', 'tapa', 'buracos', 'recuperação', 'asfáltica', 'avenida', 'engenheiro', 'carvalho', 'imediações', 'viaduto', 'sentido', 'jardim', 'aeroporto']","['solicitar', 'secretaria', 'Municipal', 'infraestrutura', 'dnit', 'realização', 'serviço', 'tapar', 'buraco', 'recuperação', 'asfáltico', 'avenida', 'engenheiro', 'Carvalho', 'imediação', 'viaduto', 'sentido', 'jardim', 'aeroporto']",Essa proposta solicita a reparação e manutenção da avenida Engenheiro de Carvalho e imediações do viaduto.,secretaria infraestrutura dnit realização serviços tapa buracos recuperação asfáltica avenida engenheiro carvalho nas imediações viaduto sentido jardim aeroporto,"['secretaria', 'infraestrutura', 'dnit', 'realização', 'serviço', 'tapar', 'buraco', 'recuperação', 'asfáltico', 'avenida', 'engenheiro', 'Carvalho', 'imediação', 'viaduto', 'sentido', 'jardim', 'aeroporto']"
Bayeux,Cabo Rubem,PSB,REQ,175,2026,solicita à secretaria municipal de infraestrutura a realização de serviços de capinagem limpeza e retirada de entulhos na rua general mourão filho avenida engenheiro edgar seager e imediações do colégio luciano ribeiro de morais no bairro alto da boa vista,https://sapl.bayeux.pb.leg.br/materia/625,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['solicita', 'à', 'secretaria', 'municipal', 'de', 'infraestrutura', 'a', 'realização', 'de', 'serviços', 'de', 'capinagem', 'limpeza', 'e', 'retirada', 'de', 'entulhos', 'na', 'rua', 'general', 'mourão', 'filho', 'avenida', 'engenheiro', 'edgar', 'seager', 'e', 'imediações', 'do', 'colégio', 'luciano', 'ribeiro', 'de', 'morais', 'no', 'bairro', 'alto', 'da', 'boa', 'vista']","['solicita', 'secretaria', 'municipal', 'infraestrutura', 'realização', 'serviços', 'capinagem', 'limpeza', 'retirada', 'entulhos', 'rua', 'general', 'mourão', 'filho', 'avenida', 'engenheiro', 'edgar', 'seager', 'imediações', 'colégio', 'luciano', 'ribeiro', 'morais', 'bairro', 'alto', 'boa', 'vista']","['solicitar', 'secretaria', 'Municipal', 'infraestrutura', 'realização', 'serviço', 'capinagem', 'limpezo', 'retirar', 'entulho', 'rua', 'general', 'Mourão', 'filho', 'avenidar', 'engenheiro', 'edgar', 'seager', 'imediação', 'colégio', 'luciano', 'Ribeiro', 'moral', 'bairro', 'alto', 'bom', 'ver']",Essa proposta pede que a secretaria municipal de infraestrutura faça a limpeza e retirada de entulhos na rua General Mourão Fílho e imediações do Colégio Luciano Ribeiro de Morais no bairro Alto da Boa Vista.,secretaria infraestrutura realização serviços capinagem limpeza retirada entulhos rua general mourão filho avenida engenheiro edgar seager imediações colégio luciano ribeiro morais bairro alto boa vista,"['secretaria', 'infraestrutura', 'realização', 'serviço', 'capinagem', 'limpezo', 'retirar', 'entulho', 'rua', 'general', 'Mourão', 'filho', 'avenidar', 'engenheiro', 'edgar', 'seager', 'imediação', 'colégio', 'luciano', 'Ribeiro', 'moral', 'bairro', 'alto', 'bom', 'ver']"
Bayeux,Cabo Rubem,PSB,REQ,168,2026,requer ao poder executivo municipal a realização de campanha permanente de conscientização prevenção e combate ao abuso e à exploração sexual de crianças e adolescentes durante o maio laranja no município de bayeux,https://sapl.bayeux.pb.leg.br/materia/613,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['requer', 'ao', 'poder', 'executivo', 'municipal', 'a', 'realização', 'de', 'campanha', 'permanente', 'de', 'conscientização', 'prevenção', 'e', 'combate', 'ao', 'abuso', 'e', 'à', 'exploração', 'sexual', 'de', 'crianças', 'e', 'adolescentes', 'durante', 'o', 'maio', 'laranja', 'no', 'município', 'de', 'bayeux']","['requer', 'poder', 'executivo', 'municipal', 'realização', 'campanha', 'permanente', 'conscientização', 'prevenção', 'combate', 'abuso', 'exploração', 'sexual', 'crianças', 'adolescentes', 'durante', 'maio', 'laranja', 'município', 'bayeux']","['requerer', 'poder', 'executivo', 'municipal', 'realização', 'campanha', 'permanente', 'conscientização', 'prevenção', 'combatir', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente', 'durante', 'maio', 'laranja', 'município', 'Bayeux']","Essa proposta requer ao governo municipal realizar uma campanha de conscientização para prevenir e combater o abuso e exploração sexual de crianças e adolescentes durante o mês de maio, quando é celebrado o Maio Laranja em Bayeux.",realização campanha permanente conscientização prevenção combate abuso exploração sexual crianças adolescentes durante maio laranja,"['requerer', 'realização', 'campanha', 'permanente', 'conscientização', 'prevenção', 'combatir', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente', 'durante', 'maio', 'laranja']"
Bayeux,Cabo Rubem,PSB,REQ,167,2026,requer à mesa diretora da câmara municipal de bayeux a iluminação da fachada do prédio do poder legislativo na cor laranja durante todo o mês de maio em apoio à campanha maio laranja de combate ao abuso e à exploração sexual de crianças e adolescentes,https://sapl.bayeux.pb.leg.br/materia/612,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['requer', 'à', 'mesa', 'diretora', 'da', 'câmara', 'municipal', 'de', 'bayeux', 'a', 'iluminação', 'da', 'fachada', 'do', 'prédio', 'do', 'poder', 'legislativo', 'na', 'cor', 'laranja', 'durante', 'todo', 'o', 'mês', 'de', 'maio', 'em', 'apoio', 'à', 'campanha', 'maio', 'laranja', 'de', 'combate', 'ao', 'abuso', 'e', 'à', 'exploração', 'sexual', 'de', 'crianças', 'e', 'adolescentes']","['requer', 'mesa', 'diretora', 'câmara', 'municipal', 'bayeux', 'iluminação', 'fachada', 'prédio', 'poder', 'legislativo', 'cor', 'laranja', 'durante', 'todo', 'mês', 'maio', 'apoio', 'campanha', 'maio', 'laranja', 'combate', 'abuso', 'exploração', 'sexual', 'crianças', 'adolescentes']","['requer', 'mesa', 'diretor', 'Câmara', 'Municipal', 'Bayeux', 'iluminação', 'fachar', 'prédio', 'poder', 'legislativo', 'cor', 'laranja', 'durante', 'todo', 'mês', 'maio', 'apoio', 'campanha', 'maio', 'laranja', 'combate', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente']","A proposta legislativa solicita à Casa Municipal que ilumine a fachada do edifício do Poder Legislativo com a cor laranja durante todo o mês de maio em solidariedade à campanha ""Maio Laranja"" que combate ao abuso e exploracao sexual de crianças e adolescentes.",iluminação fachada prédio cor laranja durante todo mês maio apoio campanha maio laranja combate abuso exploração sexual crianças adolescentes,"['diretor', 'iluminação', 'fachar', 'prédio', 'cor', 'laranja', 'durante', 'todo', 'mês', 'maio', 'apoio', 'campanha', 'maio', 'laranja', 'combate', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente']"
Bayeux,Cabo Rubem,PSB,REQ,166,2026,requer a construção de uma quadra poliesportiva na escola municipal de ensino fundamental assis chateaubriand localizada no bairro da imaculada neste município,https://sapl.bayeux.pb.leg.br/materia/611,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['requer', 'a', 'construção', 'de', 'uma', 'quadra', 'poliesportiva', 'na', 'escola', 'municipal', 'de', 'ensino', 'fundamental', 'assis', 'chateaubriand', 'localizada', 'no', 'bairro', 'da', 'imaculada', 'neste', 'município']","['requer', 'construção', 'quadra', 'poliesportiva', 'escola', 'municipal', 'ensino', 'fundamental', 'assis', 'chateaubriand', 'localizada', 'bairro', 'imaculada', 'neste', 'município']","['requer', 'construção', 'quadra', 'poliesportivo', 'escola', 'Municipal', 'ensino', 'fundamental', 'Assis', 'chateaubriand', 'localizar', 'bairro', 'imacular', 'município']",Essa proposta legislativa pede a construção de uma quadra poliesportiva na escola Assis Chateaubriand.,construção uma quadra poliesportiva escola ensino fundamental assis chateaubriand localizada bairro imaculada neste,"['construção', 'quadra', 'poliesportivo', 'escola', 'ensino', 'fundamental', 'Assis', 'chateaubriand', 'localizar', 'bairro', 'imacular']"
Bayeux,Cabo Rubem,PSB,REQ,162,2026,requer ao poder executivo municipal a realização de capacitação continuada para professores profissionais da educação agentes comunitários de saúde e servidores da rede pública municipal voltada à identificação e enfrentamento do abuso e da exploração sexual de crianças e adolescentes no município de bayeux,https://sapl.bayeux.pb.leg.br/materia/604,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['requer', 'ao', 'poder', 'executivo', 'municipal', 'a', 'realização', 'de', 'capacitação', 'continuada', 'para', 'professores', 'profissionais', 'da', 'educação', 'agentes', 'comunitários', 'de', 'saúde', 'e', 'servidores', 'da', 'rede', 'pública', 'municipal', 'voltada', 'à', 'identificação', 'e', 'enfrentamento', 'do', 'abuso', 'e', 'da', 'exploração', 'sexual', 'de', 'crianças', 'e', 'adolescentes', 'no', 'município', 'de', 'bayeux']","['requer', 'poder', 'executivo', 'municipal', 'realização', 'capacitação', 'continuada', 'professores', 'profissionais', 'educação', 'agentes', 'comunitários', 'saúde', 'servidores', 'rede', 'pública', 'municipal', 'voltada', 'identificação', 'enfrentamento', 'abuso', 'exploração', 'sexual', 'crianças', 'adolescentes', 'município', 'bayeux']","['requerer', 'poder', 'executivo', 'municipal', 'realização', 'capacitação', 'continuar', 'professor', 'profissional', 'educação', 'agente', 'comunitário', 'saúde', 'servidor', 'rede', 'público', 'municipal', 'voltar', 'identificação', 'enfrentamento', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente', 'município', 'Bayeux']","A proposta legislativa pedia que o município de Bayeux oferecesse treinamento contínuo para profissionais de educação, saúde e assistência à comunidade, para identificar e combater a exploração sexuais de crianças e adolescentes.",realização capacitação continuada para professores profissionais educação agentes comunitários saúde servidores rede pública voltada identificação enfrentamento abuso exploração sexual crianças adolescentes,"['requerer', 'realização', 'capacitação', 'continuar', 'professor', 'profissional', 'educação', 'agente', 'comunitário', 'saúde', 'servidor', 'rede', 'voltar', 'identificação', 'enfrentamento', 'abuso', 'exploração', 'sexual', 'criança', 'adolescente']"
Bayeux,Cabo Rubem,PSB,REQ,158,2026,sem_proposta_ementa,https://sapl.bayeux.pb.leg.br/materia/594,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,[],[],[],sem resumo disponível,,[]
Bayeux,Cabo Rubem,PSB,REQ,157,2026,requer que seja concecido o presente voto de aplausos ao pastor diógenes augusto da igreja redimir e ao movimento legendários caminhos da serra pelos relevantes serviços sociais prestados à população de bayeux durante o período de calamidade provocado pelas fortes chuvas,https://sapl.bayeux.pb.leg.br/materia/593,PSB,False,112,"EIMP, PDC, PDL, PLC, PLO, PR, REQ, VET",5000.0,"['requer', 'que', 'seja', 'concecido', 'o', 'presente', 'voto', 'de', 'aplausos', 'ao', 'pastor', 'diógenes', 'augusto', 'da', 'igreja', 'redimir', 'e', 'ao', 'movimento', 'legendários', 'caminhos', 'da', 'serra', 'pelos', 'relevantes', 'serviços', 'sociais', 'prestados', 'à', 'população', 'de', 'bayeux', 'durante', 'o', 'período', 'de', 'calamidade', 'provocado', 'pelas', 'fortes', 'chuvas']","['requer', 'concecido', 'presente', 'voto', 'aplausos', 'pastor', 'diógenes', 'augusto', 'igreja', 'redimir', 'movimento', 'legendários', 'caminhos', 'serra', 'relevantes', 'serviços', 'sociais', 'prestados', 'população', 'bayeux', 'durante', 'período', 'calamidade', 'provocado', 'fortes', 'chuvas']","['requer', 'concecido', 'presente', 'voto', 'aplauso', 'pastor', 'diógene', 'Augusto', 'igrejar', 'redimir', 'movimento', 'legendário', 'caminho', 'serra', 'relevante', 'serviço', 'social', 'prestar', 'população', 'bayeux', 'durante', 'período', 'calamidade', 'provocar', 'forte', 'chuva']",Essa proposta pede que o público agradeça aos serviços sociais prestados aos cidadãos de Bayeux durante chuvas fortes por meio de aplausos ao pastor Diógenes Augusto e ao Movimento Legendários Caminhos da Serra.,que seja concecido presente aplausos pastor diógenes augusto igreja redimir movimento legendários caminhos serra pelos relevantes serviços sociais prestados população durante período calamidade provocado pelas fortes chuvas,"['concecido', 'presente', 'aplauso', 'pastor', 'diógene', 'Augusto', 'igrejar', 'redimir', 'movimento', 'legendário', 'caminho', 'serra', 'relevante', 'serviço', 'social', 'prestar', 'população', 'durante', 'período', 'calamidade', 'provocar', 'forte', 'chuva']"
