municipio,vereador,partido,email,telefone,proposta_tipo,proposta_numero,proposta_ano,proposta_ementa,proposta_url
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,181.0,2026.0,"SOLICITA A CRIAÇÃO DO PROGRAMA “PRIMEIRO ESTÁGIO MUNICIPAL”, DESTINADO À INSERÇÃO DE ESTUDANTES UNIVERSITÁRIOS E TÉCNICOS NO MERCADO DE TRABALHO NO MUNICÍPIO DEDE BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/634
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,177.0,2026.0,"SOLICITA À SEMOB E À SECRETARIA MUNICIPAL DE INFRAESTRUTURA A REALIZAÇÃO DE ESTUDO TÉCNICO PARA RETIRADA OU RELOCAÇÃO DE QUEBRA-MOLAS NA RUA JOAQUIM NABUCO, NO BAIRRO IMACULADA.",https://sapl.bayeux.pb.leg.br/materia/627
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,176.0,2026.0,"SOLICITA À SECRETARIA MUNICIPAL DE INFRAESTRUTURA E AO DNIT A REALIZAÇÃO DE SERVIÇOS DE TAPA BURACOS E RECUPERAÇÃO ASFÁLTICA NA AVENIDA ENGENHEIRO DE CARVALHO E NAS IMEDIAÇÕES DO VIADUTO, NO SENTIDO JARDIM AEROPORTO.",https://sapl.bayeux.pb.leg.br/materia/626
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,175.0,2026.0,"SOLICITA À SECRETARIA MUNICIPAL DE INFRAESTRUTURA A REALIZAÇÃO DE SERVIÇOS DE CAPINAGEM, LIMPEZA E RETIRADA DE ENTULHOS NA RUA GENERAL MOURÃO FILHO, AVENIDA ENGENHEIRO EDGAR SEAGER E IMEDIAÇÕES DO COLÉGIO LUCIANO RIBEIRO DE MORAIS, NO BAIRRO ALTO DA BOA VISTA.",https://sapl.bayeux.pb.leg.br/materia/625
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,168.0,2026.0,"REQUER AO PODER EXECUTIVO MUNICIPAL A REALIZAÇÃO DE CAMPANHA PERMANENTE DE CONSCIENTIZAÇÃO, PREVENÇÃO E COMBATE AO ABUSO E À EXPLORAÇÃO SEXUAL DE CRIANÇAS E ADOLESCENTES, DURANTE O “MAIO LARANJA”, NO MUNICÍPIO DE BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/613
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,167.0,2026.0,"REQUER À MESA DIRETORA DA CÂMARA MUNICIPAL DE BAYEUX A ILUMINAÇÃO DA FACHADA DO PRÉDIO DO PODER LEGISLATIVO NA COR LARANJA DURANTE TODO O MÊS DE MAIO, EM APOIO À CAMPANHA “MAIO LARANJA” DE COMBATE AO ABUSO E À EXPLORAÇÃO SEXUAL DE CRIANÇAS E ADOLESCENTES.",https://sapl.bayeux.pb.leg.br/materia/612
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,166.0,2026.0,"REQUER A CONSTRUÇÃO DE UMA QUADRA POLIESPORTIVA NA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ASSIS CHATEAUBRIAND, LOCALIZADA NO BAIRRO DA IMACULADA, NESTE MUNICÍPIO.",https://sapl.bayeux.pb.leg.br/materia/611
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,162.0,2026.0,"REQUER AO PODER EXECUTIVO MUNICIPAL A REALIZAÇÃO DE CAPACITAÇÃO CONTINUADA PARA PROFESSORES, PROFISSIONAIS DA EDUCAÇÃO, AGENTES COMUNITÁRIOS DE SAÚDE E SERVIDORES DA REDE PÚBLICA MUNICIPAL, VOLTADA À IDENTIFICAÇÃO E ENFRENTAMENTO DO ABUSO E DA EXPLORAÇÃO SEXUAL DE CRIANÇAS E ADOLESCENTES NO MUNICÍPIO DE BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/604
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,158.0,2026.0,,https://sapl.bayeux.pb.leg.br/materia/594
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,157.0,2026.0,"REQUER QUE SEJA CONCECIDO O PRESENTE VOTO DE APLAUSOS AO PASTOR DIÓGENES AUGUSTO, DA IGREJA REDIMIR, E AO MOVIMENTO LEGENDÁRIOS – CAMINHOS DA SERRA, PELOS RELEVANTES SERVIÇOS SOCIAIS PRESTADOS À POPULAÇÃO DE BAYEUX DURANTE O PERÍODO DE CALAMIDADE PROVOCADO PELAS FORTES CHUVAS.",https://sapl.bayeux.pb.leg.br/materia/593
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,148.0,2026.0,REQUER QUE SEJA CONCECIDO O PRESENTE VOTO DE APLAUSOS AO PASTOR JOAS CRISTIANO PELO RELEVANTE TRABALHO SOCIAL E ESPIRITUAL REALIZADO ATRAVÉS DO PROJETO “DEUS NAS ESCOLAS”,https://sapl.bayeux.pb.leg.br/materia/571
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,141.0,2026.0,"SOLICITA A IMPLANTAÇÃO DE CORRIMÃO NA ENTRADA DA UNIDADE DE SAÚDE PSF IMACULADA I E II, VISANDO GARANTIR ACESSIBILIDADE E SEGURANÇA AOS USUÁRIOS.",https://sapl.bayeux.pb.leg.br/materia/557
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,140.0,2026.0,"REQUER A IMPLANTAÇÃO DO NÚMERO DE EMERGÊNCIA 153 PARA A GUARDA CIVIL MUNICIPAL DE BAYEUX, COMO SERVIÇO PÚBLICO DE ATENDIMENTO À POPULAÇÃO",https://sapl.bayeux.pb.leg.br/materia/556
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,134.0,2026.0,SOLICITA A INSTALAÇÃO DE TELEVISORES NAS RECEPÇÕES DAS PRINCIPAIS UNIDADES DE SAÚDE DO MUNICÍPIO PARA VEICULAÇÃO DE INFORMAÇÕES EDUCATIVAS SOBRE DOENÇAS E PREVENÇÃO.,https://sapl.bayeux.pb.leg.br/materia/549
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,133.0,2026.0,SOLICITA A INSTALAÇÃO DE VENTILADORES DO TIPO TUFÃO NA CENTRAL DE VELÓRIOS DO CEMITÉRIO SENHOR DA BOA MORTE.,https://sapl.bayeux.pb.leg.br/materia/548
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,125.0,2026.0,"REQUER A CRIAÇÃO DE COMISSÃO PARLAMENTAR DE INQUÉRITO CPI com a finalidade de investigar possíveis irregularidades relacionadas ao consumo de combustíveis e aos contratos de locação de veículos no âmbito da Administração Pública Municipal, no período compreendido entre 1° de janeiro de 2025 e 24 de março de 2026.",https://sapl.bayeux.pb.leg.br/materia/538
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,106.0,2026.0,REQUER A CONSTRUÇÃO DE UM GINÁSIO POLIESPORTIVO NO BAIRRO JARDIM AEROPORTO,https://sapl.bayeux.pb.leg.br/materia/511
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,105.0,2026.0,"REQUER A INCLUSÃO DAS RUAS DALVA FERRAZ E FLÁVIO RIBEIRO COUTINHO, AMBAS NO BAIRRO DO SESI, NO CRONOGRAMA DE PAVIMENTAÇÃO ASFÁLTICA DO MUNICÍPIO.",https://sapl.bayeux.pb.leg.br/materia/510
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,104.0,2026.0,,https://sapl.bayeux.pb.leg.br/materia/509
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PDC,88.0,2026.0,"Altera a Lei Municipal nº 1.520/2019, que dispõe sobre a criação do cargo de Procurador Jurídico da Câmara Municipal de Bayeux, para redefinir suas atribuições e excluir competências relativas ao controle externo e ao controle interno.",https://sapl.bayeux.pb.leg.br/materia/638
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,68.0,2026.0,"REQUER À SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO A PAVIMENTAÇÃO ASFÁLTICA EM TODA A EXTENSÃO DA RUA TREZE DE MAIO, LOCALIZADA NO BAIRRO CENTRO, NO MUNICÍPIO DE BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/456
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,52.0,2026.0,"REQUER A REALIZAÇÃO DE MUTIRÃO DE ATENDIMENTO GINECOLÓGICO DURANTE O MÊS DE MARÇO, EM ALUSÃO À CAMPANHA MARÇO AMARELO, VOLTADA À CONSCIENTIZAÇÃO E DIAGNÓSTICO PRECOCE DA ENDOMETRIOSE.",https://sapl.bayeux.pb.leg.br/materia/439
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,41.0,2026.0,"DISPÕE SOBRE O CONTROLE DE ACESSO E PERMANÊNCIA DE VISITANTES NAS INSTITUIÇÕES DE ENSINO PÚBLICAS E PRIVADAS NO ÂMBITO DO MUNICÍPIO DE BAYEUX/PB, E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/633
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,36.0,2026.0,"INSTITUI A SEMANA MUNICIPAL “MAIO LARANJA NAS ESCOLAS”, VOLTADA À CONSCIENTIZAÇÃO, PREVENÇÃO E COMBATE AO ABUSO E À EXPLORAÇÃO SEXUAL DE CRIANÇAS E ADOLESCENTES NO MUNICÍPIO DE BAYEUX, E DÁ OUTRAS PROVIDÊNCIAS",https://sapl.bayeux.pb.leg.br/materia/603
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,34.0,2026.0,"INSTITUI A POLÍTICA MUNICIPAL DE PREVENÇÃO E COMBATE A ALAGAMENTOS E ENCHENTES NO MUNÍCIPIO DE BAYEUX, ESTABELECE DIRETRIZES PARA DRENAGEM URBANA, ASSISTÊNCIA ÀS FAMÍLIAS ATINGIDAS E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/597
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,33.0,2026.0,INSTITUI O PROGRAMA MUNICIPAL “BRIGADAS COMUNITÁRIAS CONTRA ENCHENTES” NO MUNICÍPIO DE BAYEUX E DÁ OUTRAS PROVIDÊNCIAS,https://sapl.bayeux.pb.leg.br/materia/596
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,32.0,2026.0,DISPÕE SOBRE A RESERVA DE VAGAS DE ESTACIONAMENTO PARA GESTANTES E PESSOAS ACOMPANHADAS DE CRIANÇAS DE COLO NO MUNICÍPIO DE BAYEUX E DÁ OUTRAS PROVIDÊNCIAS.,https://sapl.bayeux.pb.leg.br/materia/595
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,13.0,2026.0,"REQUER O REPARO DO CALÇAMENTO DA RUA MANOEL NUNES DOS SANTOS, NO BAIRRO DO JARDIM AEROPORTO.",https://sapl.bayeux.pb.leg.br/materia/386
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,12.0,2026.0,"INSTITUI O PROGRAMA MUNICIPAL “MARÇO PELA VIDA”, VOLTADO À PREVENÇÃO, CONSCIENTIZAÇÃO E DIAGNÓSTICO PRECOCE DA ENDOMETRIOSE, DO CÂNCER DO COLO DO ÚTERO E DO CÂNCER COLORRETAL, NO ÂMBITO DO MUNICÍPIO, E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/429
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,12.0,2026.0,"REQUER O REPARO CALÇADÃO, CAPINAGEM E INSTALAÇÃO DE PLACA DE IDENTIFICAÇÃO NA AV. FRANCISCO MARQUES DA FONSECA, NO BAIRRO DA IMACULADA.",https://sapl.bayeux.pb.leg.br/materia/385
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,11.0,2026.0,"DISPÕE SOBRE A OBRIGATORIEDADE DE PUBLICAÇÃO DO CARDÁPIO DA MERENDA ESCOLAR NAS ESCOLAS PÚBLICAS MUNICIPAIS, E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/419
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,10.0,2026.0,"DISPÕE SOBRE A OBRIGATORIEDADE DE CAPACITAÇÃO DOS PROFISSIONAIS DA REDE PÚBLICA MUNICIPAL DE ENSINO, PARA IDENTIFICAÇÃO E ENCAMINHAMENTO DE CASOS DE VIOLÊNCIA FÍSICA, PSICOLÓGICA E SEXUAL CONTRA CRIANÇAS E ADOLESCENTES, E DÁ OUTRAS PROVIDENCIAS.",https://sapl.bayeux.pb.leg.br/materia/418
